Temperature dependence of enthalpy
  T       Zn(NO3)2         NH2CH2COOH       C6H8O7           O2               ZnO              CO2              H2O              N2               C                
436       -110690.600000   -123030.780000   -361320.080000   996.240931       -82373.775504    -92704.781504    -56664.010840    975.375879       397.202590       
437       -110654.300000   -123007.090000   -361266.240000   1003.627493      -82362.677139    -92694.376037    -56655.637050    982.535748       400.659514       
438       -110618.000000   -122983.400000   -361212.400000   1011.016013      -82351.572329    -92683.963533    -56647.260800    989.696804       404.122466       
439       -110581.700000   -122959.710000   -361158.560000   1018.406485      -82340.461111    -92673.544026    -56638.882090    996.859046       407.591415       
440       -110545.400000   -122936.020000   -361104.720000   1025.798903      -82329.343519    -92663.117550    -56630.500920    1004.022471      411.066325       
441       -110509.100000   -122912.330000   -361050.880000   1033.193260      -82318.219588    -92652.684136    -56622.117290    1011.187078      414.547166       
442       -110472.800000   -122888.640000   -360997.040000   1040.589550      -82307.089354    -92642.243819    -56613.731200    1018.352865      418.033903       
443       -110436.500000   -122864.950000   -360943.200000   1047.987766      -82295.952851    -92631.796631    -56605.342650    1025.519830      421.526506       
444       -110400.200000   -122841.260000   -360889.360000   1055.387902      -82284.810113    -92621.342604    -56596.951640    1032.687971      425.024941       
445       -110363.900000   -122817.570000   -360835.520000   1062.789953      -82273.661174    -92610.881769    -56588.558170    1039.857286      428.529178       
446       -110327.600000   -122793.880000   -360781.680000   1070.193911      -82262.506066    -92600.414160    -56580.162240    1047.027773      432.039185       
447       -110291.300000   -122770.190000   -360727.840000   1077.599771      -82251.344825    -92589.939806    -56571.763850    1054.199431      435.554931       
448       -110255.000000   -122746.500000   -360674.000000   1085.007526      -82240.177481    -92579.458739    -56563.363000    1061.372258      439.076384       
449       -110218.700000   -122722.810000   -360620.160000   1092.417172      -82229.004069    -92568.970990    -56554.959690    1068.546252      442.603516       
450       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82217.824620    -92558.476590    -56546.553920    1075.721410      446.136295       
451       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82206.639166    -92547.975568    -56538.145690    1082.897732      449.674691       
452       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82195.447739    -92537.467955    -56529.735000    1090.075216      453.218675       
453       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82184.250371    -92526.953781    -56521.321850    1097.253860      456.768217       
454       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82173.047093    -92516.433074    -56512.906240    1104.433662      460.323289       
455       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82161.837935    -92505.905865    -56504.488170    1111.614620      463.883860       
456       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82150.622929    -92495.372182    -56496.067640    1118.796733      467.449903       
457       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82139.402104    -92484.832053    -56487.644650    1125.979999      471.021388       
